"","iid","gender","match","samerace","race","goal","dec","attr","intel","prob","agediff"
"73",8,0,1,0,2,1,1,5,8,5,3
"74",8,0,1,1,2,1,1,8,5,6,2
"75",8,0,1,0,2,1,1,6,8,5,1
"76",8,0,1,1,2,1,1,6,8,5,0
"77",8,0,0,1,2,1,1,6,8,6,5
"78",8,0,1,1,2,1,1,5,7,4,2
"79",8,0,1,1,2,1,1,8,5,10,3
"80",8,0,1,1,2,1,1,7,8,7,1
"81",9,0,0,0,6,1,1,8,9,5,1
"82",9,0,1,0,6,1,1,10,10,5,4
"83",9,0,1,0,6,1,1,5,10,5,4
"84",9,0,1,0,6,1,1,10,8,5,3
"85",9,0,1,0,6,1,1,5,8,5,2
"86",9,0,1,0,6,1,1,8,9,5,1
"87",9,0,1,0,6,1,1,6,9,5,4
"88",9,0,0,0,6,1,1,6,8,5,1
"89",9,0,1,0,6,1,1,8,5,6,2
"90",9,0,0,0,6,1,1,7,7,5,2
"91",10,0,0,1,2,2,0,6,10,3,1
"92",10,0,0,1,2,2,0,1,1,1,4
"93",10,0,1,0,2,2,1,6,10,6,4
"94",10,0,0,1,2,2,0,10,10,1,3
"95",10,0,0,0,2,2,0,5,7,1,2
"96",10,0,0,1,2,2,0,5,6,1,1
"97",10,0,0,1,2,2,1,5,8,1,4
"98",10,0,0,1,2,2,0,5,6,5,1
"99",10,0,1,1,2,2,1,9,9,9,2
"100",10,0,0,1,2,2,1,9,8,10,2
"101",11,1,0,0,2,1,0,6,8,4,6
"102",11,1,0,1,2,1,0,8,6,2,3
"103",11,1,0,1,2,1,0,7,6,2,2
"104",11,1,0,1,2,1,0,6,8,3,4
"105",11,1,0,1,2,1,0,6,8,5,6
"106",11,1,0,0,2,1,0,7,8,4,4
"107",11,1,0,0,2,1,0,7,8,4,5
"108",11,1,0,1,2,1,0,8,6,4,2
"109",11,1,0,0,2,1,0,6,7,4,1
"110",11,1,0,1,2,1,0,7,7,3,1
"111",12,1,0,0,2,1,0,7,10,4,1
"112",12,1,0,1,2,1,0,7,10,4,2
"113",12,1,0,1,2,1,0,6,10,3,3
"114",12,1,0,1,2,1,0,6,10,3,1
"115",12,1,0,1,2,1,0,6,10,4,1
"116",12,1,0,0,2,1,0,6,10,4,1
"117",12,1,0,0,2,1,1,7,10,4,0
"118",12,1,1,1,2,1,1,8,10,4,3
"119",12,1,1,0,2,1,1,8,10,4,4
"120",12,1,0,1,2,1,0,1,1,1,4
"121",13,1,1,1,4,2,1,10,10,10,1
"122",13,1,0,0,4,2,1,10,10,10,2
"123",13,1,0,0,4,2,1,10,10,10,3
"124",13,1,0,0,4,2,1,10,10,10,1
"125",13,1,0,0,4,2,1,10,10,10,1
"126",13,1,0,1,4,2,1,10,10,10,1
"127",13,1,0,1,4,2,1,10,10,10,0
"128",13,1,1,0,4,2,1,10,10,10,3
"129",13,1,1,0,4,2,1,10,10,10,4
"130",13,1,1,0,4,2,1,10,10,10,4
"131",14,1,1,0,2,2,1,7,9,7,2
"132",14,1,1,1,2,2,1,9,9,7,1
"133",14,1,0,1,2,2,1,7,8,7,2
"134",14,1,1,1,2,2,1,7,7,10,0
"135",14,1,1,1,2,2,1,6,6,7,2
"136",14,1,1,0,2,2,1,6,8,7,0
"137",14,1,1,0,2,2,1,8,9,7,1
"138",14,1,1,1,2,2,1,8,8,7,2
"139",14,1,1,0,2,2,1,7,7,7,3
"140",14,1,0,1,2,2,1,7,7,7,3
"141",15,1,1,0,3,1,1,8,9,6,3
"142",15,1,0,0,3,1,1,10,10,1,0
"143",15,1,0,0,3,1,1,6,8,1,1
"144",15,1,0,0,3,1,1,8,9,7,1
"145",15,1,0,0,3,1,0,5,9,7,3
"146",15,1,0,0,3,1,1,9,9,2,1
"147",15,1,0,0,3,1,1,8,9,4,2
"148",15,1,1,0,3,1,1,9,8,7,1
"149",15,1,1,0,3,1,1,7,8,8,2
"150",15,1,0,0,3,1,1,6,9,6,2
"151",16,1,0,0,2,1,1,7,8,6,4
"152",16,1,0,1,2,1,1,7,7,5,1
"153",16,1,0,1,2,1,1,7,6,7,0
"154",16,1,0,1,2,1,1,6,7,6,2
"155",16,1,0,1,2,1,0,5,7,7,4
"156",16,1,0,0,2,1,1,6,8,6,2
"157",16,1,0,0,2,1,1,8,8,7,3
"158",16,1,1,1,2,1,1,8,7,6,0
"159",16,1,1,0,2,1,1,6,7,5,1
"160",16,1,0,1,2,1,0,NA,7,6,1
"161",17,1,0,0,2,3,0,3,7,1,9
"162",17,1,0,1,2,3,0,5,4,3,6
"163",17,1,0,1,2,3,0,6,5,2,5
"164",17,1,0,1,2,3,1,7,3,4,7
"165",17,1,0,1,2,3,0,2,4,3,9
"166",17,1,0,0,2,3,0,5,8,3,7
"167",17,1,0,0,2,3,0,7,5,4,8
"168",17,1,0,1,2,3,0,6,7,4,5
"169",17,1,1,0,2,3,1,8,7,4,4
"170",17,1,0,1,2,3,0,7,4,6,4
"171",18,1,0,0,2,1,0,6,5,5,6
"172",18,1,0,1,2,1,1,7,7,6,3
"173",18,1,0,1,2,1,0,4,6,1,2
"174",18,1,0,1,2,1,0,6,8,7,4
"175",18,1,0,1,2,1,0,5,6,5,6
"176",18,1,0,0,2,1,0,6,8,6,4
"177",18,1,0,0,2,1,1,8,6,5,5
"178",18,1,1,1,2,1,1,9,8,5,2
"179",18,1,0,0,2,1,0,7,7,5,1
"180",18,1,0,1,2,1,0,6,6,6,1
"181",19,1,1,0,2,4,1,7,8,8,7
"182",19,1,1,1,2,4,1,8,9,8,4
"183",19,1,0,1,2,4,1,7,6,7,3
"184",19,1,1,1,2,4,1,7,7,8,5
"185",19,1,1,1,2,4,1,5,9,7,7
"186",19,1,1,0,2,4,1,6,7,6,5
"187",19,1,1,0,2,4,1,9,9,9,6
"188",19,1,1,1,2,4,1,8,8,8,3
"189",19,1,1,0,2,4,1,6,6,6,2
"190",19,1,1,1,2,4,1,7,7,8,2
"191",20,1,0,0,2,1,0,6,6,6,3
"192",20,1,0,1,2,1,0,6,7,9,0
"193",20,1,0,1,2,1,0,5,8,5,1
"194",20,1,0,1,2,1,0,7,8,7,1
"195",20,1,0,1,2,1,0,3,7,10,3
"196",20,1,0,0,2,1,0,7,10,7,1
"197",20,1,0,0,2,1,0,7,8,7,2
"198",20,1,1,1,2,1,1,8,9,8,1
"199",20,1,0,0,2,1,0,5,6,6,2
"200",20,1,0,1,2,1,0,6,6,7,2
"201",21,0,0,1,4,6,0,6,7,1,4
"202",21,0,0,1,4,6,0,5,7,2,9
"203",21,0,0,1,4,6,1,8,8,3,2
"204",21,0,0,0,4,6,0,5,8,1,3
"205",21,0,0,0,4,6,0,7,8,1,3
"206",21,0,0,0,4,6,0,6,8,2,7
"207",21,0,0,0,4,6,0,6,8,2,5
"208",21,0,0,0,4,6,0,4,7,1,9
"209",21,0,0,0,4,6,0,7,7,1,1
"210",21,0,0,1,4,6,1,9,10,5,4
"211",21,0,0,0,4,6,0,5,7,1,6
"212",21,0,0,0,4,6,0,7,6,1,2
"213",21,0,0,0,4,6,0,5,8,1,0
"214",21,0,0,0,4,6,0,6,7,1,7
"215",21,0,0,0,4,6,0,6,7,1,7
"216",21,0,0,0,4,6,0,5,9,3,2
"217",22,0,0,0,1,1,0,5,7,4,2
"218",22,0,0,0,1,1,0,4,6,3,3
"219",22,0,0,0,1,1,0,5,6,2,4
"220",22,0,0,0,1,1,0,5,7,3,3
"221",22,0,1,0,1,1,1,6,8,6,3
"222",22,0,1,0,1,1,1,6,7,6,1
"223",22,0,0,0,1,1,1,8,7,4,1
"224",22,0,0,0,1,1,0,5,7,4,3
"225",22,0,0,0,1,1,1,7,7,4,5
"226",22,0,0,0,1,1,0,6,7,3,2
"227",22,0,0,1,1,1,1,5,7,6,0
"228",22,0,0,0,1,1,0,3,5,1,4
"229",22,0,0,0,1,1,0,3,7,2,6
"230",22,0,0,0,1,1,1,7,8,5,1
"231",22,0,0,0,1,1,0,4,5,2,1
"232",22,0,0,1,1,1,1,6,7,6,4
"233",23,0,0,1,4,1,1,5,6,6,4
"234",23,0,0,1,4,1,0,5,7,6,9
"235",23,0,0,1,4,1,1,6,7,5,2
"236",23,0,1,0,4,1,1,5,8,6,3
"237",23,0,1,0,4,1,1,7,7,10,3
"238",23,0,1,0,4,1,1,6,7,5,7
"239",23,0,0,0,4,1,1,7,7,5,5
"240",23,0,0,0,4,1,0,5,7,5,9
"241",23,0,0,0,4,1,0,6,6,5,1
"242",23,0,0,1,4,1,1,7,6,6,4
"243",23,0,0,0,4,1,1,6,7,5,6
"244",23,0,0,0,4,1,0,7,5,4,2
"245",23,0,0,0,4,1,0,6,5,5,0
"246",23,0,0,0,4,1,0,NA,NA,NA,7
"247",23,0,0,0,4,1,0,6,6,4,7
"248",23,0,0,0,4,1,0,6,7,5,2
"249",24,0,0,0,2,2,0,5,7,3,2
"250",24,0,0,0,2,2,0,7,NA,4,3
"251",24,0,0,0,2,2,0,6,NA,5,4
"252",24,0,0,1,2,2,0,7,8,5,3
"253",24,0,0,1,2,2,0,5,8,7,3
"254",24,0,0,1,2,2,0,7,8,6,1
"255",24,0,0,1,2,2,1,9,7,7,1
"256",24,0,0,1,2,2,0,5,7,7,3
"257",24,0,0,1,2,2,0,7,7,6,5
"258",24,0,0,0,2,2,0,6,NA,5,2
"259",24,0,0,0,2,2,0,6,NA,7,0
"260",24,0,0,1,2,2,0,6,8,7,4
"261",24,0,0,1,2,2,0,4,NA,6,6
"262",24,0,0,1,2,2,1,8,NA,7,1
"263",24,0,0,1,2,2,0,6,NA,6,1
"264",24,0,0,0,2,2,0,8,7,4,4
"265",25,0,0,0,2,1,0,7,9,4,0
"266",25,0,0,0,2,1,0,5,8,3,5
"267",25,0,0,0,2,1,0,6,8,5,2
"268",25,0,0,1,2,1,0,4,10,5,1
"269",25,0,0,1,2,1,0,6,9,4,1
"270",25,0,0,1,2,1,0,6,7,5,3
"271",25,0,0,1,2,1,0,7,8,7,1
"272",25,0,0,1,2,1,0,3,9,4,5
"273",25,0,0,1,2,1,0,7,8,6,3
"274",25,0,0,0,2,1,0,8,9,8,0
"275",25,0,0,0,2,1,0,9,9,7,2
"276",25,0,0,1,2,1,0,6,8,7,2
"277",25,0,0,1,2,1,0,5,7,4,4
"278",25,0,0,1,2,1,0,7,9,7,3
"279",25,0,0,1,2,1,0,5,8,7,3
"280",25,0,0,0,2,1,0,7,7,5,2
"281",26,0,0,0,2,1,0,2,5,2,2
"282",26,0,0,0,2,1,0,2,5,2,7
"283",26,0,0,0,2,1,0,2,5,2,0
"284",26,0,0,1,2,1,0,2,7,3,1
"285",26,0,0,1,2,1,0,3,7,4,1
"286",26,0,0,1,2,1,0,4,6,2,5
"287",26,0,0,1,2,1,0,7,5,5,3
"288",26,0,0,1,2,1,0,3,6,2,7
"289",26,0,0,1,2,1,0,6,5,4,1
"290",26,0,0,0,2,1,0,5,8,5,2
"291",26,0,0,0,2,1,0,7,6,5,4
"292",26,0,0,1,2,1,0,6,6,4,0
"293",26,0,0,1,2,1,0,2,6,4,2
"294",26,0,0,1,2,1,0,6,8,6,5
"295",26,0,0,1,2,1,0,2,7,3,5
"296",26,0,0,0,2,1,0,6,6,5,0
"297",27,0,0,0,3,1,0,2,6,3,3
"298",27,0,0,0,3,1,0,1,4,1,8
"299",27,0,0,0,3,1,0,1,6,2,1
"300",27,0,0,0,3,1,0,1,7,3,2
"301",27,0,0,0,3,1,0,1,4,4,2
"302",27,0,0,0,3,1,0,3,6,2,6
"303",27,0,1,0,3,1,1,8,6,5,4
"304",27,0,0,0,3,1,0,1,5,5,8
"305",27,0,0,0,3,1,0,4,4,1,0
"306",27,0,0,0,3,1,0,4,4,3,3
"307",27,0,1,0,3,1,1,6,6,4,5
"308",27,0,0,0,3,1,0,1,6,3,1
"309",27,0,0,0,3,1,0,1,7,3,1
"310",27,0,0,0,3,1,0,6,8,3,6
"311",27,0,0,0,3,1,0,2,7,2,6
"312",27,0,0,0,3,1,0,5,6,1,1
"313",28,0,0,0,2,NA,0,3,6,4,1
"314",28,0,0,0,2,NA,0,2,5,2,4
"315",28,0,0,0,2,NA,0,3,8,3,3
"316",28,0,0,1,2,NA,0,4,5,4.5,2
"317",28,0,0,1,2,NA,0,4,7,4,2
"318",28,0,0,1,2,NA,0,4,5,3,2
"319",28,0,1,1,2,NA,1,7,8,6.5,0
"320",28,0,0,1,2,NA,0,4,6,5,4
"321",28,0,0,1,2,NA,0,6,5,4,4
"322",28,0,0,0,2,NA,0,3,7,3,1
"323",28,0,0,0,2,NA,0,5,9,5,1
"324",28,0,0,1,2,NA,1,5,6,4.5,3
"325",28,0,0,1,2,NA,0,NA,NA,NA,5
"326",28,0,0,1,2,NA,1,6,7,5.5,2
"327",28,0,0,1,2,NA,0,4,6.5,4,2
"328",28,0,0,0,2,NA,0,4,6,4,3
"329",29,0,0,0,2,1,0,4,4,4,3
"330",29,0,0,0,2,1,0,4,6,4,8
"331",29,0,0,0,2,1,0,6,7,3,1
"332",29,0,0,1,2,1,0,5,5,4,2
"333",29,0,1,1,2,1,1,8,7,4,2
"334",29,0,1,1,2,1,1,6,7,4,6
"335",29,0,0,1,2,1,1,8,6,4,4
"336",29,0,0,1,2,1,0,5,6,4,8
"337",29,0,0,1,2,1,1,8,8,5,0
"338",29,0,0,0,2,1,0,7,6,6,3
"339",29,0,0,0,2,1,1,7,7,5,5
"340",29,0,0,1,2,1,1,6,7,5,1
"341",29,0,0,1,2,1,1,6,8,7,1
"342",29,0,0,1,2,1,1,9,8,5,6
"343",29,0,0,1,2,1,0,6,6,4,6
"344",29,0,0,0,2,1,1,6,7,6,1
"345",30,0,0,0,2,1,0,3,6,5,2
"346",30,0,0,0,2,1,0,8,8,5,7
"347",30,0,0,0,2,1,0,6,8,6,0
"348",30,0,0,1,2,1,0,4,6,5,1
"349",30,0,0,1,2,1,0,6,7,4,1
"350",30,0,0,1,2,1,0,4,5,3,5
"351",30,0,0,1,2,1,0,8,7,6,3
"352",30,0,0,1,2,1,0,5,5,6,7
"353",30,0,0,1,2,1,0,7,5,7,1
"354",30,0,1,0,2,1,1,8,7,7,2
"355",30,0,0,0,2,1,1,7,8,4,4
"356",30,0,0,1,2,1,0,5,5,4,0
"357",30,0,0,1,2,1,0,3,8,7,2
"358",30,0,0,1,2,1,1,7,8,6,5
"359",30,0,0,1,2,1,0,3,8,5,5
"360",30,0,1,0,2,1,1,7,8,5,0
"361",31,0,0,0,2,1,0,4,6,4,1
"362",31,0,0,0,2,1,0,3,6,NA,6
"363",31,0,0,0,2,1,0,4,6,3,1
"364",31,0,0,1,2,1,0,4,6,4,0
"365",31,0,0,1,2,1,0,4,7,4,0
"366",31,0,0,1,2,1,0,4,7,4,4
"367",31,0,0,1,2,1,0,9,7,4,2
"368",31,0,0,1,2,1,0,2,4,3,6
"369",31,0,1,1,2,1,1,8,8,8,2
"370",31,0,1,0,2,1,1,7,8,8,1
"371",31,0,1,0,2,1,1,9,8,9,3
"372",31,0,0,1,2,1,0,4,5,4,1
"373",31,0,0,1,2,1,0,3,8,4,3
"374",31,0,0,1,2,1,0,7,7,6,4
"375",31,0,0,1,2,1,0,4,6,5,4
"376",31,0,1,0,2,1,1,9,7,9,1
"377",32,0,0,1,4,1,0,4,7,5,2
"378",32,0,0,1,4,1,0,7,9,5,3
"379",32,0,0,1,4,1,0,5,6,5,4
"380",32,0,0,0,4,1,0,5,7,3,3
"381",32,0,0,0,4,1,0,5,9,3,3
"382",32,0,0,0,4,1,0,8,9,5,1
"383",32,0,0,0,4,1,0,8,8,5,1
"384",32,0,0,0,4,1,0,7,8,5,3
"385",32,0,0,0,4,1,0,7,7,2,5
"386",32,0,0,1,4,1,0,6,9,5,2
"387",32,0,0,0,4,1,0,7,8,3,0
"388",32,0,0,0,4,1,0,5,7,3,4
"389",32,0,0,0,4,1,0,4,6,3,6
"390",32,0,0,0,4,1,0,7,9,5,1
"391",32,0,0,0,4,1,0,7,9,5,1
"392",32,0,0,0,4,1,0,8,7,3,4
"393",33,0,0,0,2,6,1,6,7,5,5
"394",33,0,0,0,2,6,0,2,7,2,0
"395",33,0,0,0,2,6,0,6,6,3,7
"396",33,0,0,1,2,6,1,5,7,3,6
"397",33,0,0,1,2,6,0,5,6,2,6
"398",33,0,0,1,2,6,0,6,7,2,2
"399",33,0,0,1,2,6,0,8,9,2,4
"400",33,0,0,1,2,6,0,4,6,2,0
"401",33,0,0,1,2,6,1,8,6,3,8
"402",33,0,0,0,2,6,0,6,8,2,5
"403",33,0,0,0,2,6,1,7,7,3,3
"404",33,0,0,1,2,6,0,7,9,1,7
"405",33,0,0,1,2,6,1,9,8,4,9
"406",33,0,0,1,2,6,0,8,5,3,2
"407",33,0,0,1,2,6,0,5,5,2,2
"408",33,0,0,0,2,6,0,7,6,2,7
"409",34,0,0,1,4,1,0,4,5,6,4
"410",34,0,0,1,4,1,0,3,7,7,9
"411",34,0,0,1,4,1,0,5,5,5,2
"412",34,0,0,0,4,1,0,4,6,4,3
"413",34,0,0,0,4,1,0,4,5,4,3
"414",34,0,0,0,4,1,0,4,6,3,7
"415",34,0,1,0,4,1,1,9,9,8,5
"416",34,0,0,0,4,1,0,3,5,4,9
"417",34,0,0,0,4,1,0,5,3,4,1
"418",34,0,1,1,4,1,1,7,8,7,4
"419",34,0,0,0,4,1,0,4,6,5,6
"420",34,0,0,0,4,1,0,3,4,3,2
"421",34,0,0,0,4,1,0,4,5,3,0
"422",34,0,0,0,4,1,0,5,6,4,7
"423",34,0,0,0,4,1,0,4,6,4,7
"424",34,0,0,0,4,1,0,4,5,3,2
"425",35,0,0,0,2,1,1,6,9,7,0
"426",35,0,0,0,2,1,0,5,8,7,5
"427",35,0,0,0,2,1,0,6,9,6,2
"428",35,0,0,1,2,1,0,6,8,8,1
"429",35,0,0,1,2,1,0,5,7,6,1
"430",35,0,1,1,2,1,1,7,9,8,3
"431",35,0,1,1,2,1,1,8,9,8,1
"432",35,0,0,1,2,1,0,5,8,8,5
"433",35,0,0,1,2,1,1,8,7,7,3
"434",35,0,1,0,2,1,1,7,9,8,0
"435",35,0,1,0,2,1,1,6,8,10,2
"436",35,0,0,1,2,1,1,8,6,5,2
"437",35,0,0,1,2,1,0,6,10,8,4
"438",35,0,1,1,2,1,1,8,8,7,3
"439",35,0,0,1,2,1,0,6,8,8,3
"440",35,0,0,0,2,1,0,6,8,8,2
"441",36,0,0,0,2,2,0,2,2,5,1
"442",36,0,0,0,2,2,0,1,2,5,4
"443",36,0,0,0,2,2,0,2,4,3,3
"444",36,0,0,1,2,2,0,1,1,6,2
"445",36,0,0,1,2,2,0,1,1,5,2
"446",36,0,0,1,2,2,0,2,5,5,2
"447",36,0,0,1,2,2,0,2,4,5,0
"448",36,0,0,1,2,2,0,1,5,6,4
"449",36,0,0,1,2,2,0,3,2,5,4
"450",36,0,1,0,2,2,1,4,8,5,1
"451",36,0,0,0,2,2,0,5,8,3,1
"452",36,0,1,1,2,2,1,5,6,6,3
"453",36,0,0,1,2,2,0,1,5,6,5
"454",36,0,0,1,2,2,1,9,8,6,2
"455",36,0,0,1,2,2,0,3,6,5,2
"456",36,0,0,0,2,2,0,5,8,5,3
"457",37,0,0,0,2,2,0,2,5,6,2
"458",37,0,0,0,2,2,0,2,6,5,3
"459",37,0,0,0,2,2,1,4,6,5,4
"460",37,0,0,1,2,2,0,4,8,2,3
"461",37,0,1,1,2,2,1,7,8,7,3
"462",37,0,0,1,2,2,0,6,7,3,1
"463",37,0,0,1,2,2,1,8,9,6,1
"464",37,0,0,1,2,2,0,3,7,5,3
"465",37,0,0,1,2,2,1,8,6,6,5
"466",37,0,0,0,2,2,0,6,5,3,2
"467",37,0,0,0,2,2,1,6,6,4,0
"468",37,0,0,1,2,2,1,7,7,2,4
"469",37,0,1,1,2,2,1,2,6,5,6
"470",37,0,0,1,2,2,1,7,7,4,1
"471",37,0,0,1,2,2,0,4,4,3,1
"472",37,0,0,0,2,2,1,5,6,4,4
"473",38,0,0,0,1,1,0,2,10,1,2
"474",38,0,0,0,1,1,0,1,10,1,7
"475",38,0,0,0,1,1,0,8,10,1,0
"476",38,0,0,0,1,1,0,3,10,1,1
"477",38,0,0,0,1,1,0,5,7,1,1
"478",38,0,0,0,1,1,0,6,8,1,5
"479",38,0,0,0,1,1,0,10,6,2,3
"480",38,0,0,0,1,1,0,7,7,2,7
"481",38,0,0,0,1,1,1,8,5,4,1
"482",38,0,1,0,1,1,1,9,9,2,2
"483",38,0,1,1,1,1,1,8,8,6,4
"484",38,0,0,0,1,1,0,8,9,1,0
"485",38,0,0,0,1,1,0,2,9,2,2
"486",38,0,0,0,1,1,0,3,9,1,5
"487",38,0,0,0,1,1,0,3,9,1,5
"488",38,0,1,1,1,1,1,8,8,6,0
"489",39,0,0,0,3,5,1,6,9,6,1
"490",39,0,0,0,3,5,0,3,9,5,6
"491",39,0,0,0,3,5,1,5,9,6,1
"492",39,0,0,0,3,5,1,7,8,7,0
"493",39,0,0,0,3,5,0,4,7,1,0
"494",39,0,0,0,3,5,0,4,7,1,4
"495",39,0,0,0,3,5,0,8,9,2,2
"496",39,0,1,0,3,5,1,5,8,5,6
"497",39,0,0,0,3,5,1,8,6,3,2
"498",39,0,0,0,3,5,0,5,7,3,1
"499",39,0,0,0,3,5,1,5,8,5,3
"500",39,0,0,0,3,5,0,3,8,1,1
"501",39,0,0,0,3,5,1,3,9,2,3
"502",39,0,0,0,3,5,1,8,9,5,4
"503",39,0,0,0,3,5,0,4,8,3,4
"504",39,0,0,0,3,5,0,6,8,3,1
"505",40,1,0,1,4,2,0,3,10,1,4
"506",40,1,0,0,4,2,0,4,8,1,2
"507",40,1,0,1,4,2,0,5,3,1,4
"508",40,1,0,0,4,2,0,5,9,3,2
"509",40,1,0,0,4,2,0,8,9,1,0
"510",40,1,0,0,4,2,0,8,9,1,2
"511",40,1,0,0,4,2,0,9,6,2,3
"512",40,1,0,0,4,2,0,8,7,2,1
"513",40,1,0,0,4,2,0,5,3,NA,3
"514",40,1,0,0,4,2,0,6,8,1,2
"515",40,1,0,0,4,2,0,7,4,1,1
"516",40,1,0,1,4,2,0,8,10,1,2
"517",40,1,0,0,4,2,0,6,10,1,5
"518",40,1,0,1,4,2,0,8,6,2,4
"519",40,1,0,0,4,2,0,5,6,1,0
"520",40,1,0,0,4,2,0,5,9,2,1
"521",40,1,0,0,4,2,0,4,8,1,2
"522",40,1,0,0,4,2,0,8,10,1,2
"523",40,1,0,0,4,2,0,3,9,1,1
"524",41,1,0,1,4,2,0,5,5,NA,9
"525",41,1,0,0,4,2,0,5,5,NA,3
"526",41,1,0,1,4,2,0,8,8,NA,9
"527",41,1,0,0,4,2,0,5,5,NA,3
"528",41,1,0,0,4,2,1,5,5,NA,5
"529",41,1,0,0,4,2,1,5,5,NA,7
"530",41,1,0,0,4,2,1,8,8,NA,8
"531",41,1,0,0,4,2,1,8,8,NA,4
"532",41,1,0,0,4,2,0,8,8,NA,8
"533",41,1,0,0,4,2,0,10,10,NA,7
"534",41,1,0,0,4,2,0,8,8,NA,6
"535",41,1,0,1,4,2,0,10,10,NA,3
"536",41,1,0,0,4,2,1,10,10,NA,0
"537",41,1,0,1,4,2,1,10,10,NA,9
"538",41,1,0,0,4,2,0,10,10,NA,5
"539",41,1,0,0,4,2,0,5,5,NA,4
"540",41,1,0,0,4,2,0,5,5,NA,3
"541",41,1,0,0,4,2,0,5,5,NA,7
"542",41,1,0,0,4,2,0,5,5,1,6
"543",42,1,0,1,4,2,0,3,9,7,2
"544",42,1,0,0,4,2,0,3,8,1,4
"545",42,1,0,1,4,2,0,6,9,8,2
"546",42,1,0,0,4,2,0,7,7,1,4
"547",42,1,0,0,4,2,1,8,7,6,2
"548",42,1,0,0,4,2,1,7,8,4,0
"549",42,1,0,0,4,2,1,8,8,6,1
"550",42,1,0,0,4,2,1,7,9,6,3
"551",42,1,0,0,4,2,0,3,7,1,1
"552",42,1,0,0,4,2,0,4,7,2,0
"553",42,1,0,0,4,2,0,8,8,3,1
"554",42,1,0,1,4,2,0,5,10,4,4
